,0
0,2.574557273090704
1,2.3813733282749108
2,2.241811627742028
3,2.134446675865157
4,2.0470742487370606
5,1.9708993480730554
6,1.9020096180793808
7,1.8383541385398208
8,1.7784779393561654
9,1.7227232421838865
10,1.6685239988850211
11,1.6186607441752903
12,1.5695595444721682
13,1.5225263433034835
14,1.4773298819794358
15,1.4357873638667358
16,1.3958441243271196
17,1.3572559811007119
18,1.3211303926116487
19,1.286903744409007
20,1.2536586387546294
21,1.2196253062538365
22,1.191197360170732
23,1.1601010487670103
24,1.1306177906647021
25,1.1035757590001394
26,1.0764874139210472
27,1.0497256665358106
28,1.0255997695810255
29,1.0027563018107533
30,0.9798651128467264
31,0.9563641446851755
32,0.9353613470164974
33,0.9105240296918177
34,0.8905522929221179
35,0.8709432895631335
36,0.8520073234740356
37,0.8322726666665483
38,0.8163235821545877
39,0.7978484266115897
40,0.7836972294208573
41,0.7667632107548763
42,0.7517075364665629
43,0.737663397597193
44,0.7209973348195182
45,0.7082650770138149
46,0.6939309604429138
47,0.6821036526032165
48,0.6694989445640254
49,0.6552986211497859
50,0.6439209797924393
51,0.6313851618344544
52,0.6201840394280363
53,0.6052576219033959
54,0.5976329640552345
55,0.5846478440428029
56,0.5718136373447037
57,0.5639283407698419
58,0.5511792194812197
59,0.5415159594155091
60,0.5342378592684268
61,0.5210778884209165
62,0.5129478070506481
63,0.5011086732206405
64,0.4929865663794454
65,0.4835154513333899
66,0.4748989172701257
67,0.4651636186473681
68,0.4562173849611018
69,0.4462225450584353
70,0.43808255784463124
71,0.4324402797686929
72,0.42499329855912077
73,0.41470873945038245
74,0.4086471336562839
75,0.39986405401750946
76,0.3913603064975917
77,0.3864864126166952
78,0.37888977072318786
79,0.37260321435661253
80,0.36634773115808006
81,0.35964357839843064
82,0.3535599611998259
83,0.34720066813307104
84,0.3430106229568693
85,0.3376664005420419
86,0.3304545033246459
87,0.32691944663436906
88,0.3212293087290513
89,0.3164972388960384
90,0.3104613161820229
91,0.30563511385621767
92,0.3000934047073142
93,0.29646052965942415
94,0.29130810921431766
95,0.2839989360710345
96,0.27926958680872993
97,0.2762226518990246
98,0.26881477110730234
99,0.2665144740585964
100,0.26320867715858615
101,0.258235654779871
102,0.2547782063484192
103,0.2506023006803187
104,0.24719591523054732
105,0.24202010986374212
106,0.24346817649373112
107,0.2381723641301825
108,0.23311341528968454
109,0.22995741059006342
110,0.22661465363866481
111,0.2233267054984623
112,0.21921418356018235
113,0.21600297248867564
114,0.21206253554256718
115,0.20958237200238952
116,0.2065279887051192
117,0.20192559998746365
118,0.20415144880547229
119,0.2008395496140071
120,0.19717065421255783
121,0.19487457298957536
122,0.1901967425977444
123,0.18816345710796292
124,0.18341613850182456
125,0.18338078302973118
126,0.17894527808707342
127,0.1770434776941935
128,0.17694410873205696
129,0.17104398621627748
130,0.17162266921892327
131,0.16811437210101862
132,0.1676532210785239
133,0.16296130101278808
134,0.1649629916547747
135,0.15924752544139126
136,0.15508986239509226
137,0.1529372988134737
138,0.14972223363558976
139,0.14776580416193905
140,0.14900897139706892
141,0.14825572972766388
142,0.14180038722906055
143,0.14168794530882148
144,0.14168114658242592
145,0.14319650096463868
146,0.13746569714396947
147,0.13828279800561677
148,0.13724029031446647
149,0.12968283207582812
150,0.12869420580520924
151,0.12793200190155013
152,0.12701633079964533
153,0.12308315377128053
154,0.12309233910562178
155,0.12322900519143219
156,0.12791942555062527
157,0.12099855578515242
158,0.11895941706033672
159,0.11728602474302724
160,0.12260881889527607
161,0.11508162240285523
162,0.11532325629412898
163,0.11352379134825989
164,0.1116911910642051
165,0.11396040672918129
166,0.11236676941986336
167,0.10762263732189532
168,0.11225959143096571
169,0.10697627565089586
170,0.10461391844898708
171,0.10581081061491529
172,0.11208276916244146
173,0.10076958304378503
174,0.09795832869641274
175,0.09697965656513044
176,0.09368621078838954
177,0.10458685433975881
178,0.10438215673657186
179,0.0921891709725193
180,0.09657579905904301
181,0.08936360496403685
182,0.09263022858516519
183,0.09177719728426904
184,0.08939807929552761
185,0.08694206090630704
186,0.09109186733377825
187,0.08833897788075547
188,0.08445806977252657
189,0.08577774410258276
190,0.09113852601991389
191,0.08346845905968019
192,0.0848512870803238
193,0.08279749719995774
194,0.08079721284789872
195,0.08349392101176815
196,0.08133746934814286
197,0.08016591566987642
198,0.08334501846225494
199,0.07957118202997131
200,0.08085303238497403
201,0.07632448829051755
202,0.07893421727179957
203,0.0779990855315961
204,0.07396523262497359
205,0.07653684134276473
206,0.07551132251377095
207,0.07210331719894451
208,0.07157543280306654
209,0.07266420220883582
210,0.07447450492226246
211,0.06753657781966502
212,0.07893771093537165
213,0.07308089268331931
214,0.06783151299268711
215,0.06760272359141015
216,0.06816759900297849
217,0.06452633010889396
218,0.0648442155250411
219,0.06784026535050938
220,0.06707753315527056
221,0.06358972530584948
222,0.06243719208836228
223,0.06433938336464025
224,0.06076467711476426
225,0.06096812567168838
226,0.0636386373814222
227,0.06264985556919322
228,0.05733222348686105
229,0.0578039976870994
230,0.06110514801063098
231,0.060458302694254694
232,0.056866960038463206
233,0.05495459780727095
234,0.056671409146069565
235,0.05834216458793527
236,0.056495537147752406
237,0.05476543629712812
238,0.05555708482984263
239,0.05319101034056545
240,0.05041219558380646
241,0.05514135156471215
242,0.05574737807540433
243,0.052432329297262124
244,0.05042174411042584
245,0.0507736648588898
